Completed,3000 23rd Street,3000,23rd Street,94110,,2003,On,Rental ,54,7,No,Mission,SE,9
Completed,4343 3rd Street ,4343,03rd Street ,94124,,2003,On,Ownership,16,2,No,Bayview,SE,10
Completed,Silver Park,901-933,Bayshore Blvd.,94124,,2003,On,Ownership,40,4,No,Bayview,SE,10
Completed,3208 Pierce ,2298,Lombard Street ,94123,,2004,On,Ownership,14,1,No,Marina,NW,2
Completed,329 Bay Street ,329,Bay Street,94133,,2004,On,Ownership,21,2,No,North Beach,NE,3
Completed,520 Chestnut Street,520,Chestnut Street,94133,,2004,On,Ownership,20,2,No,North Beach,NE,3
Completed,Northpoint Apartments,2351,Powell Street ,94133,,2004,On,Rental,72,9,No,North Beach,NE,3
Completed,The Royal,201,Sansome Street,94104,,2004,On,Ownership,46,5,No,Financial District,NE,3
Completed,77 Bluxome Street,77,Bluxome Street ,94107,,2004,On,Rental,102,10,No,SOMA,SE,6
Completed,Shipley Square,821,Folsom Street,94107,,2004,On,Ownership,78,8,No,SOMA,SE,6
Completed,6 Mint Plaza,418-420,Jessie Street ,94103,,2004,On,Rental,25,3,No,SOMA,SE,6
Completed,Book Concern Building,83 - 91,McAllister Street ,94117,,2004,On,Ownership,60,6,No,Downtown/Civic Center,NE,6
Completed,8 McLea Court,8,McLea Court,94103,,2004,On,Rental ,102,3,No,SOMA,SE,6
Completed,Mission Valencia (FNA Valencia Triangle),3184 ,Mission Street,94110,,2004,On,Ownership,20,2,No,Bernal Heights,SE,9
Completed,The Heights at Candlestick,833-881,Jamestown Avenue,94124,,2004,On,Ownership,198,24,No,Bayview,SE,10
Completed,1158 Sutter Street,1158 ,Sutter Street,94108,,2005,On,Ownership,14,2,No,Downtown/Civic Center,NE,3
Completed,788 Minna,121,09th Street ,94013,,2005,On,Ownership,20,2,No,SOMA,SE,6
Completed,Mosaica 601,601,Alabama Street,94110,,2005,On,Ownership,56,21,No,Mission,SE,6
Completed,470 Clementina,470,Clementina Street,94103,,2005,On,Ownership,12,1,No,SOMA,SE,6
Completed,30 Dore Street ,30,Dore Street ,94103,,2005,On,Rental,42,4,No,SOMA,SE,6
Completed,410 Jessie Street ,410,Jessie Street ,94103,,2005,On,Ownership,24,2,No,SOMA,NE,6
Completed,74 New Montgomery Street,74,New Montgomery,94105,,2005,On,Ownership,107,11,No,Financial District ,NE,6
Completed,566 South Van Ness Avenue,566,South Van Ness Avenue,94110,,2005,On,Ownership,34,4,No,Mission,SE,6
Completed,The Artani,818,Van Ness Avenue,94109,,2005,On,Ownership,52,2,No,Downtown/Civic Center,NW,6
Completed,Bayshore,2428,Bayshore Blvd.,94134,,2005,On (for off),Ownership,12,12,Yes,Visitation Valley,SE,10
Completed,5800 Third Street (Phase I & II),5800,03rd Street,94124,,2005,On,Ownership,139,17,No,Bayview,SE,10
Completed,"Candlestick Point - The Cove,  Phase II",301-501,Crescent Way ,94134,,2005,On,Ownership,176,18,No,Bayview,SE,10
Completed,Candlestick Cove,101,Executive Park,94134,,2005,On,Ownership,150,18,No,Bayview,SE,10
Completed,3190 Scott Street,3190,Scott Street,94123,,2006,On,Ownership,12,1,No,Marina,NW,2
Completed,725 Pine Street ,725,Pine Street ,94108,,2006,On,Ownership,22,2,No,Chinatown,NE,3
Completed,723 Taylor Street,723,Taylor Street,94108,,2006,On,Ownership,12,1,No,Downtown/Civic Center,NE,3
Completed,125 Mason,125,Mason Street,94102,,2006,On (for off),Rental,81,81,Yes,Downtown/Civic Center,NE,6
Completed,480 14th Street,480,14th Street,94103,,2006,On,Ownership,12,1,No,Mission,SE,6
Completed,3520 20th Street,3520 ,20th Street,94110,,2006,On,Ownership,14,1,No,Mission,SE,9
Completed,75 Moss Street,75,Moss Street,94103,,2007,On,Ownership,14,1,No,SOMA,SE,6
Completed,901 Bush Street,901 ,Bush Street ,94109,,2008,On,Ownership,38,5,No,Downtown/Civic Center,NE,3
Completed,1355 Pacific Avenue ,1355,Pacific Avenue ,94109,,2008,On,Ownership,23,2,No,Nob Hill,NE,3
Completed,168 Hyde Street (BPA200611077058),168,Hyde Street,94102,,2008,On,Ownership,31,3,No,Downtown/Civic Center,NE,6
Completed,Avalon at Ocean Avenue,1150,Ocean Avenue ,94112,,2009,On,Rental,173,26,No,West of Twin Peaks ,SW,7
Completed,574 Natoma Street,574,Natoma Street,94103,,2011,On,Ownership,10,2,No,SOMA,SE,6
,,,,,,,,,,,,,,
